tibetan_syllable	prefix	superscript	root_consonant	subjoined_consonants	vowel	suffix_coda	post_suffix	orthographic_stack	ambiguous_root_candidates	role_parse_status	role_parse_confidence	rationale
མྱའི			མ	ཡ	i	འ		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱར			མ	ཡ	a	ར		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱལ			མ	ཡ	a	ལ		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱི			མ	ཡ	i			མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱིག			མ	ཡ	i	ག		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱིས			མ	ཡ	i	ས		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱུ			མ	ཡ	u			མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱུར			མ	ཡ	u	ར		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱུལ			མ	ཡ	u	ལ		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱེད			མ	ཡ	e	ད		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱེན			མ	ཡ	e	ན		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱེས			མ	ཡ	e	ས		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱོག			མ	ཡ	o	ག		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱོང			མ	ཡ	o	ང		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱོན			མ	ཡ	o	ན		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱོས			མ	ཡ	o	ས		མཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྱྱ			མ	ཡཡ	a			མཡཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྲ			མ	ར	a			མར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྲག			མ	ར	a	ག		མར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྲགྭ			མ	རཝ	a	ག		མརཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྲང			མ	ར	a	ང		མར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྲིག			མ	ར	i	ག		མར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྲིས			མ	ར	i	ས		མར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྲེགས			མ	ར	e	ག	ས	མར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྲེས			མ	ར	e	ས		མར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྲོག			མ	ར	o	ག		མར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མླུགས			མ	ལ	u	ག	ས	མལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
མྷ			མ	ཧ	a			མཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཙ			ཙ		a			ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙན			ཙ		a	ན		ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙནྡན			ན	ད	a	ན		ནད	ཙ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཙནྡྲ			ན	དར	a			ནདར	ཙ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཙབ			ཙ		a	བ		ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙམ			ཙ		a	མ		ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙཚརན					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཙརྨ		ར	མ		a			རམ	ཙ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཙས			ཙ		a	ས		ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙཱ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཙཱན					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཙི			ཙ		i			ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙུ			ཙ		u			ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙུག			ཙ		u	ག		ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙུབ			ཙ		u	བ		ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙེ			ཙ		e			ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙེར			ཙ		e	ར		ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙོ			ཙ		o			ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙོས			ཙ		o	ས		ཙ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཙཾ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7E
ཙྨར			ཙ	མ	a	ར		ཙམ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཙྭ			ཙ	ཝ	a			ཙཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཚ			ཚ		a			ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚག			ཚ		a	ག		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚགས			ཚ		a	ག	ས	ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚང			ཚ		a	ང		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚངས			ཚ		a	ང	ས	ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚད			ཚ		a	ད		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚདང					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཚན			ཚ		a	ན		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚནྡོ			ན	ད	o			ནད	ཚ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཚབ			ཚ		a	བ		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚབས			ཚ		a	བ	ས	ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚར			ཚ		a	ར		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚལ			ཚ		a	ལ		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚས			ཚ		a	ས		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚིག			ཚ		i	ག		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚིགས			ཚ		i	ག	ས	ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚིན			ཚ		i	ན		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚིམ			ཚ		i	མ		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚིམས			ཚ		i	མ	ས	ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚིར			ཚ		i	ར		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚིལ			ཚ		i	ལ		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚིས			ཚ		i	ས		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚུ			ཚ		u			ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚུག			ཚ		u	ག		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚུགས			ཚ		u	ག	ས	ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚུང			ཚ		u	ང		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚུངས			ཚ		u	ང	ས	ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚུད			ཚ		u	ད		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚུན			ཚ		u	ན		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚུབ			ཚ		u	བ		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚུམ			ཚ		u	མ		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚུར			ཚ		u	ར		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚུལ			ཚ		u	ལ		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚེ			ཚ		e			ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚེག			ཚ		e	ག		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚེགས			ཚ		e	ག	ས	ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚེམ			ཚ		e	མ		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚེའ			ཚ		e	འ		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚེའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཚེའེ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཚེར			ཚ		e	ར		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚེས			ཚ		e	ས		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚོ			ཚ		o			ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚོགས			ཚ		o	ག	ས	ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚོང			ཚ		o	ང		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚོངས			ཚ		o	ང	ས	ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚོད			ཚ		o	ད		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚོན			ཚ		o	ན		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚོམ			ཚ		o	མ		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚོམས			ཚ		o	མ	ས	ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚོར			ཚ		o	ར		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚོལ			ཚ		o	ལ		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚོས			ཚ		o	ས		ཚ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཚོཿ					o					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7F
ཚྔ			ཚ	ང	a			ཚང		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཚྫང			ཚ	ཛ	a	ང		ཚཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཚྫེ			ཚ	ཛ	e			ཚཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཚྫོན			ཚ	ཛ	o	ན		ཚཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཚྭ			ཚ	ཝ	a			ཚཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཛ			ཛ		a			ཛ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཛང			ཛ		a	ང		ཛ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཛཇན					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཛཕབ					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཛཱ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཛི			ཛ		i			ཛ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཛིག			ཛ		i	ག		ཛ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཛིར			ཛ		i	ར		ཛ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཛུ			ཛ		u			ཛ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཛུང			ཛ		u	ང		ཛ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཛེ			ཛ		e			ཛ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཛོ			ཛ		o			ཛ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཛཾ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7E
ཛཿ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7F
ཛྫ			ཛ	ཛ	a			ཛཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཛྫན			ཛ	ཛ	a	ན		ཛཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཛྭ			ཛ	ཝ	a			ཛཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཛྲ			ཛ	ར	a			ཛར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཛྲོམ			ཛ	ར	o	མ		ཛར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཛྷནྭ			ཛ	ཧཝ	a	ན		ཛཧཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཝ			ཝ		a			ཝ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཝང			ཝ		a	ང		ཝ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཝན			ཝ		a	ན		ཝ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཝམ			ཝ		a	མ		ཝ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཝཱ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཝི			ཝ		i			ཝ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཝེམ			ཝ		e	མ		ཝ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཝོ			ཝ		o			ཝ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཝོམ			ཝ		o	མ		ཝ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཝྔ			ཝ	ང	a			ཝང		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཝྔན			ཝ	ང	a	ན		ཝང		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཝྡན			ཝ	ད	a	ན		ཝད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཝྫིང			ཝ	ཛ	i	ང		ཝཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཝྫིབས			ཝ	ཛ	i	བ	ས	ཝཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཝྭང			ཝ	ཝ	a	ང		ཝཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཝྲ			ཝ	ར	a			ཝར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཝྲང			ཝ	ར	a	ང		ཝར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཝྲི			ཝ	ར	i			ཝར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཝྲིང			ཝ	ར	i	ང		ཝར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཝྲེང			ཝ	ར	e	ང		ཝར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཞ			ཞ		a			ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞཁག					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཞཁར					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཞཁོ					o					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཞཁོག					o					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཞཁོགས					o					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཞཁོན					o					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཞཁོར					o					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཞཁོས					o					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཞཁོཿ					o					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7F
ཞག			ཞ		a	ག		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞགས			ཞ		a	ག	ས	ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞང			ཞ		a	ང		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞད			ཞ		a	ད		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞདས			ཞ		a	ད	ས	ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞན			ཞ		a	ན		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞབས			ཞ		a	བ	ས	ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞམས			ཞ		a	མ	ས	ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞའ			ཞ		a	འ		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞའཁར					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཞའཁལ					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཞའཁྱལ			ཁ	ཡ	a	ལ		ཁཡ	ཞ;འ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཞའགན					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཞའགྲོ			ག	ར	o			གར	ཞ;འ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཞའབྲས			བ	ར	a	ས		བར	ཞ;འ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཞའྲད			འ	ར	a	ད		འར	ཞ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཞར			ཞ		a	ར		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞལ			ཞ		a	ལ		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞས			ཞ		a	ས		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞི			ཞ		i			ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞིཀ					i					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཞིག			ཞ		i	ག		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞིང			ཞ		i	ང		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞིད			ཞ		i	ད		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞིན			ཞ		i	ན		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞིབ			ཞ		i	བ		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞིམ			ཞ		i	མ		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞིའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཞུ			ཞ		u			ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞུག			ཞ		u	ག		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞུགས			ཞ		u	ག	ས	ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞུན			ཞ		u	ན		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞུམ			ཞ		u	མ		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞུར			ཞ		u	ར		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞུས			ཞ		u	ས		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞེ			ཞ		e			ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞེང			ཞ		e	ང		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞེད			ཞ		e	ད		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞེན			ཞ		e	ན		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞེར			ཞ		e	ར		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞེལ			ཞ		e	ལ		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞེས			ཞ		e	ས		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞོ			ཞ		o			ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞོག			ཞ		o	ག		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞོགས			ཞ		o	ག	ས	ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞོད			ཞ		o	ད		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞོན			ཞ		o	ན		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞོར			ཞ		o	ར		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞོལ			ཞ		o	ལ		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞོས			ཞ		o	ས		ཞ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཞྟུང			ཞ	ཏ	u	ང		ཞཏ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཞྡེ			ཞ	ད	e			ཞད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཞྭ			ཞ	ཝ	a			ཞཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཞྱགས			ཞ	ཡ	a	ག	ས	ཞཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཞྲག			ཞ	ར	a	ག		ཞར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཞྲབས			ཞ	ར	a	བ	ས	ཞར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཞྲིབ			ཞ	ར	i	བ		ཞར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཞྲོ			ཞ	ར	o			ཞར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟ			ཟ		a			ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟག			ཟ		a	ག		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟང			ཟ		a	ང		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟངས			ཟ		a	ང	ས	ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟད			ཟ		a	ད		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟན			ཟ		a	ན		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟབ			ཟ		a	བ		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟམ			ཟ		a	མ		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟའི			ཟ		i	འ		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟར			ཟ		a	ར		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟལ			ཟ		a	ལ		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟས			ཟ		a	ས		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟི			ཟ		i			ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟིགས			ཟ		i	ག	ས	ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟིངས			ཟ		i	ང	ས	ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟིན			ཟ		i	ན		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟིར			ཟ		i	ར		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟིལ			ཟ		i	ལ		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟུ			ཟ		u			ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟུག			ཟ		u	ག		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟུང			ཟ		u	ང		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟུངས			ཟ		u	ང	ས	ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟུར			ཟ		u	ར		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟེ			ཟ		e			ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟེགས			ཟ		e	ག	ས	ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟེའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཟེའེ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཟེར			ཟ		e	ར		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟོག			ཟ		o	ག		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟོང			ཟ		o	ང		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟོན			ཟ		o	ན		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟོམ			ཟ		o	མ		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟོར			ཟ		o	ར		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟོས			ཟ		o	ས		ཟ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཟྦ			ཟ	བ	a			ཟབ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟྲག			ཟ	ར	a	ག		ཟར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟྲིན			ཟ	ར	i	ན		ཟར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟྲིལ			ཟ	ར	i	ལ		ཟར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟྲེ			ཟ	ར	e			ཟར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟྲེར			ཟ	ར	e	ར		ཟར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟླ			ཟ	ལ	a			ཟལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟླག			ཟ	ལ	a	ག		ཟལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟླན			ཟ	ལ	a	ན		ཟལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟླམ			ཟ	ལ	a	མ		ཟལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟླའི			ཟ	ལ	i	འ		ཟལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟླུ			ཟ	ལ	u			ཟལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟླུམ			ཟ	ལ	u	མ		ཟལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟླུར			ཟ	ལ	u	ར		ཟལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟློ			ཟ	ལ	o			ཟལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟློག			ཟ	ལ	o	ག		ཟལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཟློས			ཟ	ལ	o	ས		ཟལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
