tibetan_syllable	observed_forms	current_canonical_tier	role_parse_status	composition_status	feature_composed_target	component_rule_ids	supporting_evidence_ids	leave_one_out_status	domain_compatibility	correction_authority	blocker
མགྲེན	chu	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
མགྲོ	mgo	provisional	fully_resolved	feature_complete_target_support_insufficient	mgro	CORPUS_BC919FFB8C2C;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_16D4A9AA0695	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མགྲོན	'mgron;bu;mgron	canonical_independent_strong	fully_resolved	feature_complete_unique	mgron	CORPUS_BC919FFB8C2C;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མང	Mer;mar;mari;maṅ;mi;miṅ;mmaṅ;mon;mo’i;zaay;man;man;man;man;man;man;man;man;man;man;man;man;man	ambiguous	ambiguous_root	role_parse_unresolved				insufficient	unresolved	no	ambiguous_root
མངག	mnag;mrag	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ང
མངགས	mags;mnags;mṅags	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ང
མངང	manpopa;mar;maṅ;mdoṅ;mdun	canonical_independent_moderate	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ང
མངན	Fehler;maṅ;mnan;mnon	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ང
མངའ	ana’;ba;ma';ma’;mia';mna’;para’	ambiguous	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ང;suffix_coda:འ
མངར	mar	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ང
མངལ	mal;mmal;mnal	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ང
མངས	maṅs;ris	provisional	ambiguous_root	role_parse_unresolved				insufficient	unresolved	no	ambiguous_root
མངོ	'ndo;mdo	provisional	ambiguous_root	role_parse_unresolved				insufficient	unresolved	no	ambiguous_root
མངོངས	mdons	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_16D4A9AA0695;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ང
མངོན	mhon;mi;mnon;mnoṅ;mon;mṅon;ninoṅ;non;sum;yinon;yon	ambiguous	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ང
མཆ	mar	provisional	fully_resolved	feature_complete_target_support_insufficient	mcha	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཆག	Ka;buddh;kanon	provisional	fully_resolved	feature_complete_target_support_insufficient	mchag	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཆད	mchad;mchod	canonical_feature_composed	fully_resolved	feature_complete_unique	mchad	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_01025FAF5D30;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཆན	'nchan;Zmchan;mchan;mtshan;zmchan	ambiguous	fully_resolved	feature_complete_unique	mchan	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཆམས	mtshams	canonical_independent_moderate	fully_resolved	feature_complete_target_support_insufficient	mchams	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཆཚན	mtshan	provisional	unusual_stack	role_parse_unresolved				insufficient	unresolved	no	unusual_stack
མཆལ	mtshal	provisional	fully_resolved	feature_complete_target_support_insufficient	mchal	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཆཱ	mchu	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
མཆི	mchi	provisional	fully_resolved	feature_complete_target_support_insufficient	mchi	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_63EB474B7A3F	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
མཆིག	mchig	provisional	fully_resolved	feature_complete_target_support_insufficient	mchig	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_63EB474B7A3F;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
མཆིང	mchin	provisional	fully_resolved	feature_complete_target_support_insufficient	mchiṅ	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_63EB474B7A3F;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཆིད	mchid	canonical_feature_composed	fully_resolved	feature_complete_unique	mchid	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_63EB474B7A3F;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཆིན	mchin	canonical_feature_composed	fully_resolved	feature_complete_unique	mchin	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_63EB474B7A3F;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཆིལ	mchil	canonical_feature_composed	fully_resolved	feature_complete_unique	mchil	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_63EB474B7A3F;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཆིས	mchis	provisional	fully_resolved	feature_complete_target_support_insufficient	mchis	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_63EB474B7A3F;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
མཆུ	Schnabel;mchn;mchu;mehn;mehu	canonical_independent_strong	fully_resolved	feature_complete_unique	mchu	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_84A74DBDD722	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཆུངས	mtshuns	provisional	fully_resolved	feature_complete_target_support_insufficient	mchuṅs	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_84A74DBDD722;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཆུམ	mchum	provisional	fully_resolved	feature_complete_target_support_insufficient	mchum	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_84A74DBDD722;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
མཆེ	mche;mchi	canonical_independent_moderate	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
མཆེད	mched;mchid	canonical_independent_strong	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
མཆེལ	mchil	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
མཆེས	Inchis;mches;mchis;mtshes	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
མཆོ	mtsho	canonical_independent_moderate	fully_resolved	feature_complete_target_support_insufficient	mcho	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_16D4A9AA0695	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཆོག	Beiname;Inchog;Tmi;alttib;be;gter;khyu;mcbog;mchog;mcog;mehog;tog;’mchog	ambiguous	fully_resolved	feature_complete_unique	mchog	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཆོང	mchon	provisional	fully_resolved	feature_complete_target_support_insufficient	mchoṅ	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_16D4A9AA0695;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཆོངས	mchoṅs	provisional	fully_resolved	feature_complete_target_support_insufficient	mchoṅs	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_16D4A9AA0695;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
མཆོད	Na’;gtor;ma;mchod;mehod;sbyin	canonical_independent_strong	fully_resolved	feature_complete_unique	mchod	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_16D4A9AA0695;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཆོན	mtshon	canonical_independent_moderate	fully_resolved	feature_complete_target_support_insufficient	mchon	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཆོར	mchor	canonical_feature_composed	fully_resolved	feature_complete_unique	mchor	CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_16D4A9AA0695;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཆོཿ	mchog	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
མཆྦལ	mandal	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;RESIDUAL_59F309DD5F15;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	subjoined_consonants:བ
མཇང	mjin	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཇ
མཇད	mjed	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཇ
མཇའ	mja’	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཇ;suffix_coda:འ
མཇལ	mal;mjal	canonical_independent_strong	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཇ
མཇིང	mjin;mjiṅ	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_63EB474B7A3F;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཇ
མཇུག	Schlangenschwanz;geig;ming;mjng;mjug;mug;sdud	canonical_independent_strong	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཇ
མཇུད	mjud	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_84A74DBDD722;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཇ
མཇེད	mjed	canonical_independent_moderate	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཇ;vowel:e
མཇེས	mdzes	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཇ;vowel:e
མཇྟལ	mandal	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཇ;subjoined_consonants:ཏ
མཉ	man;mie	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཉ
མཉན	'Imilan;'mfian;des;ma;man;mian;miian;müan;pf	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཉ
མཉམ	ham;m;mRam;man;mham;miam;mnam;mniam;mäam;mñam;müam;pa;par;resp;rub;sbyor;sres;’dzin;’jags;’jog;’kbyud	canonical_independent_strong	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཉ
མཉས	müles	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_01025FAF5D30;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཉ
མཉེ	Massage;mie	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཉ;vowel:e
མཉེན	lcug;müen;weich	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཉ;vowel:e
མཉེལ	miiel;müiel	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཉ;vowel:e
མཉེས	mies;möes;pa	canonical_independent_moderate	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:ཉ;vowel:e
མཏག	Textes;me	provisional	fully_resolved	feature_complete_target_support_insufficient	mtag	CORPUS_BC919FFB8C2C;RESIDUAL_381523970DB6;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཏོག	me	provisional	fully_resolved	feature_complete_target_support_insufficient	mtog	CORPUS_BC919FFB8C2C;RESIDUAL_381523970DB6;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཏྱེན	mkhyen	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;RESIDUAL_381523970DB6;CORPUS_E34B3E203AE6;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
མཐང	mthan;mthin;mthon;mthoṅ	provisional	fully_resolved	feature_complete_target_support_insufficient	mthaṅ	CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཐན	mthan	canonical_feature_composed	fully_resolved	feature_complete_unique	mthan	CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཐའ	grenzenlos;imtha’;miha;mitha';mtha';mtha'yas;mtha’;mucha’;zntha’	ambiguous	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	suffix_coda:འ
མཐའལ	mthil	provisional	unusual_stack	role_parse_unresolved				insufficient	unresolved	no	unusual_stack
མཐའི	mtha’i	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_63EB474B7A3F	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	suffix_coda:འ
མཐའྲ	abgelegener	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
མཐར	imthar;mthar;pithar	canonical_independent_strong	fully_resolved	feature_complete_unique	mthar	CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཐས	imthas;mthas	canonical_feature_composed	fully_resolved	feature_complete_unique	mthas	CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_01025FAF5D30;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཐིང	mthin	provisional	fully_resolved	feature_complete_target_support_insufficient	mthiṅ	CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_63EB474B7A3F;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
མཐིལ	mthil	canonical_independent_strong	fully_resolved	feature_complete_unique	mthil	CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_63EB474B7A3F;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཐུ	mihn;mthn;mthu	canonical_feature_composed	fully_resolved	feature_complete_unique	mthu	CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_84A74DBDD722	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཐུག	mthng;mthug	canonical_feature_composed	fully_resolved	feature_complete_unique	mthug	CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཐུད	'mthud;mthud	canonical_independent_strong	fully_resolved	feature_complete_unique	mthud	CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_84A74DBDD722;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཐུན	'Imtbun;'Imthun;'mthun;A;Imthun;bsdebs;bsgrigs;kha;mtbun;mthun;’mthun	canonical_independent_strong	fully_resolved	feature_complete_unique	mthun	CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_84A74DBDD722;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཐུའི	dpal	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
མཐུར	mthur	canonical_feature_composed	fully_resolved	feature_complete_unique	mthur	CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_84A74DBDD722;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
མཐེ	mthe	provisional	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
མཐེབ	mtbeb;mtheb	canonical_independent_moderate	fully_resolved	feature_partial		CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
མཐེའུ	mthe’u	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
མཐོ	'mtho;dman;mtbo;mtho	canonical_independent_strong	fully_resolved	feature_complete_unique	mtho	CORPUS_BC919FFB8C2C;RESIDUAL_9DD158EE4F10;CORPUS_16D4A9AA0695	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
